DateTime,AddedIPs,RemovedIPs
1468461726,1,0
1468465327,0,1
1468468926,0,1
1468479725,1,0
1468483326,2,1
1468497726,1,0
1468504925,2,124
1468508525,1,387
1468512123,1,279
1468515722,1,75
1468519323,1,1
1468522923,0,2
1468526523,1,0
1468537323,1,0
1468548123,0,1
1468551723,1,0
1468555323,1,0
1468558923,1,0
1468566123,1,1
1468569723,1,0
1468576923,1,0
1468580523,6,0
1468584123,0,1
1468587723,0,2
1468591322,2,2
1468594923,1,1
1468598523,3,2
1468602123,16,1
1468605723,21,1
1468609324,10,0
1468613223,15,1
1468616823,11,0
1468620422,7,0
1468624023,4,1
1468631223,1,0
1468638423,0,1
1468642022,0,1
1468645623,0,1
1468656422,0,1
1468663622,1,3
1468667223,0,4
1468678023,0,3
1468685222,0,3
1468688822,0,23
1468692422,0,14
1468696022,0,10
1468699622,1,15
1468703222,0,11
1468706822,0,7
1468710422,0,4
1468714022,1,0
1468717621,1,1
1468746421,1,0
1468750022,0,1
1468764421,0,1
1468775222,1,0
1468786022,0,1
1468800421,0,1
1468804021,0,1
1468814822,1,0
1468822022,3,0
1468832822,0,1
1468840021,1,0
1468843622,1,0
1468847223,234,0
1468850825,271,0
1468854431,315,0
1468858028,280,0
1468858929,60,0
1468866426,37,1
1468877526,1,0
1468884726,1,0
1468888326,1,0
1468891926,2,0
1468895528,1,0
1468899128,2,0
1468902727,0,1
1468906328,1,1
1468909927,0,1
1468924327,1,1
1468927929,1,0
1468931527,0,40
1468935127,2,256
1468938725,1,302
1468942323,0,352
1468945923,20,234
1468949523,37,12
1468953124,126,2
1468956725,101,0
1468960326,94,0
1468963925,55,1
1468967524,3,0
1468971125,1,1
1468974725,0,1
1468978325,0,2
1468985524,0,1
1468992724,1,1
1468996325,0,1
1469010725,0,2
1469017925,8,0
1469021525,0,1
1469025125,0,2
1469032325,0,21
1469035924,1,35
1469039524,0,124
1469043124,0,99
1469046723,2,92
1469050323,0,60
1469053923,3,5
1469057522,2,1
1469061123,1,0
1469068324,1,1
1469075523,0,1
1469079123,1,1
1469082723,1,0
1469089923,1,0
1469093522,1,0
1469100723,1,0
1469104322,0,8
1469111523,1,0
1469115123,14,0
1469118723,120,0
1469122323,40,1
1469133124,0,2
1469140323,0,3
1469143924,0,2
1469147524,0,1
1469151124,1,0
1469154724,1,0
1469161923,0,1
1469165823,2,1
1469169422,0,1
1469176623,3,2
1469187422,0,1
1469191022,1,0
1469194623,1,0
1469198223,2,1
1469201823,7,15
1469205422,9,126
1469209022,11,33
1469212622,22,0
1469216223,8,0
1469219822,8,0
1469223422,10,0
1469227023,2,0
1469230623,5,0
1469234222,10,0
1469237823,16,1
1469241423,26,1
1469245023,22,0
1469252223,0,2
1469259724,1,0
1469263323,0,1
1469266923,0,1
1469277724,1,1
1469281323,0,1
1469284923,0,4
1469288524,0,6
1469292123,0,9
1469295724,0,12
1469299323,0,21
1469302924,0,7
1469306523,0,8
1469310123,0,12
1469314021,0,1
1469317622,0,5
1469321222,0,12
1469324822,0,14
1469328422,1,37
1469332022,0,11
1469335622,1,0
1469339221,1,0
1469343122,0,1
1469350323,2,0
1469386324,1,1
1469393523,1,0
1469415422,2,0
1469422622,1,0
1469426222,1,1
1469437021,1,1
1469440621,1,1
1469444221,4,0
1469447821,2,0
1469455022,1,0
1469465822,2,1
1469480523,0,1
1469484123,1,0
1469491324,2,0
1469494923,1,0
1469498528,1,1
1469502122,1,2
1469509323,1,1
1469512923,0,1
1469523723,0,1
1469527323,10,2
1469530923,2,4
1469538123,1,0
1469541723,0,1
1469548923,1,1
1469556124,0,1
1469559723,1,0
1469570523,0,1
1469577722,0,1
1469581323,0,2
1469584923,1,0
1469588523,0,2
1469596021,1,0
1469599622,2,0
1469603222,1,1
1469606822,1,1
1469610422,1,0
1469614022,1,10
1469617622,1,2
1469621222,1,0
1469624822,1,1
1469628422,23,1
1469632022,43,0
1469635623,37,1
1469639223,27,0
1469642822,28,0
1469646422,18,1
1469650022,1,0
1469657223,2,0
1469660824,1,0
1469668022,1,0
1469675223,1,0
1469682422,0,1
1469686022,0,1
1469689624,0,2
1469693222,0,2
1469696823,1,1
1469700424,41,0
1469704024,95,0
1469707623,0,1
1469711224,35,1
1469714825,234,23
1469718426,179,44
1469722027,189,36
1469725625,0,29
1469729225,0,27
1469732826,1,17
1469736425,0,1
1469743630,0,2
1469747224,1,2
1469754425,0,1
1469758025,1,0
1469761626,1,1
1469765227,1,0
1469768826,1,0
1469779625,1,0
1469783224,1,1
1469786829,0,41
1469790425,0,94
1469794024,0,1
1469797625,0,34
1469801224,0,224
1469804822,0,179
1469808422,0,200
1469815622,0,1
1469819222,1,1
1469830021,0,1
1469833622,0,1
1469844422,0,1
1469851622,0,1
1469855221,0,1
1469862422,2,0
1469866021,0,1
1469869622,0,1
1469873222,1,0
1469905621,0,1
1469945221,1,0
1469948822,2,2
1469952422,1,0
1469959622,0,1
1469988422,1,0
1469995622,1,0
1470006422,1,0
1470010021,1,0
1470013622,1,0
1470017221,2,0
1470035221,1,2
1470038822,2,0
1470042421,3,0
1470046021,2,0
1470053222,1,0
1470060422,1,1
1470064021,0,1
1470075123,1,1
1470082323,0,1
1470085923,1,0
1470093422,7,1
1470097021,14,0
1470100622,28,2
1470104222,26,2
1470107823,3,0
1470111423,10,0
1470115022,18,0
1470118623,5,0
1470122223,0,1
1470125822,1,2
1470129423,4,3
1470133023,1,2
1470136623,4,0
1470140222,1,1
