DateTime,AddedIPs,RemovedIPs
1469032557,162,215
1469036158,107,136
1469039758,159,119
1469043357,122,92
1469046958,111,79
1469050559,92,83
1469054157,96,90
1469057758,91,116
1469061359,72,88
1469064959,68,94
1469068560,80,77
1469072160,91,61
1469075760,77,61
1469079360,72,79
1469082960,87,85
1469086560,100,92
1469090160,131,81
1469093760,152,189
1469097359,173,151
1469100959,234,151
1469104559,235,191
1469108159,260,186
1469111759,266,187
1469115359,235,256
1469118959,183,275
1469122559,144,181
1469126158,95,201
1469129759,70,223
1469133359,66,240
1469136959,78,195
1469140559,69,131
1469144159,64,68
1469147759,57,73
1469151359,53,52
1469154959,57,61
1469158559,68,85
1469162159,74,67
1469165760,47,77
1469169359,35,69
1469172959,73,87
1469176559,61,94
1469180159,81,85
1469183760,151,92
1469187359,193,116
1469190960,131,125
1469194561,71,119
1469198160,92,127
1469201761,68,146
1469205361,83,161
1469208961,97,117
1469212561,155,158
1469216161,72,130
1469219761,70,104
1469223361,73,98
1469226961,64,95
1469230561,47,85
1469234162,63,76
1469237762,71,75
1469241362,65,73
1469244962,36,88
1469248562,68,87
1469252162,44,71
1469255762,40,80
1469259362,51,103
1469262962,57,119
1469266562,58,162
1469270162,46,161
1469273762,57,236
1469277362,41,226
1469280962,60,273
1469284562,52,261
1469288162,54,238
1469291762,64,184
1469295362,34,156
1469298962,32,91
1469302562,45,67
1469306161,51,66
1469309761,47,84
1469313362,28,68
1469316961,41,64
1469320561,33,55
1469324161,38,52
1469327761,36,63
1469331360,34,59
1469334961,34,80
1469338560,38,48
1469342160,27,38
1469345760,34,70
1469349360,29,59
1469352960,38,72
1469356560,47,147
1469360160,26,189
1469363760,25,143
1469367359,45,75
1469370959,70,90
1469374559,63,68
1469378159,49,83
1469381759,67,95
1469385359,74,151
1469388959,59,82
1469392559,52,72
1469396158,34,67
1469399758,42,73
1469403358,60,42
1469406959,57,64
1469410559,44,71
1469414159,45,64
1469417759,56,41
1469421359,14,60
1469424959,20,50
1469428560,18,39
1469432160,54,47
1469435760,66,59
1469439360,64,59
1469442960,58,48
1469446560,62,55
1469450160,64,40
1469453761,86,59
1469457361,81,49
1469460961,91,61
1469464561,118,60
1469468161,68,36
1469471761,75,36
1469475361,83,42
1469478961,87,55
1469482561,72,43
1469486161,87,27
1469489761,54,44
1469493361,37,34
1469496961,68,38
1469500561,72,33
1469504161,60,34
1469507761,55,38
1469511361,66,35
1469514962,77,27
1469518562,96,35
1469522162,71,32
1469525762,153,33
1469529362,203,46
1469532962,226,28
1469536562,215,27
1469540161,256,36
1469543762,278,73
1469547362,238,63
1469550962,218,52
1469554562,105,64
1469558163,81,75
1469561763,76,59
1469565363,67,54
1469568963,95,31
1469572563,73,47
1469576163,83,58
1469579763,85,54
1469583363,97,46
1469586964,98,47
1469590564,116,56
1469594164,152,17
1469597764,190,18
1469601365,184,18
1469604965,185,47
1469608564,39,67
1469612164,88,58
1469615764,171,67
1469619365,144,57
1469622965,228,72
1469626565,233,79
1469630165,189,83
1469633766,241,82
1469637366,217,119
1469640966,122,75
1469644566,112,77
1469648166,96,81
1469651766,88,81
1469655367,118,81
1469658967,91,84
1469662567,95,60
1469666167,111,34
1469669767,96,64
1469673367,111,71
1469676967,100,61
1469680567,118,56
1469684167,176,64
1469687768,75,77
1469691367,58,96
1469694967,54,74
1469698567,86,131
1469702168,242,223
1469705767,208,222
1469709367,165,196
1469712967,250,276
1469716567,259,272
1469720168,237,228
1469723768,115,239
1469727368,50,95
1469730968,114,92
1469734568,124,76
1469738168,113,61
1469741768,134,100
1469745369,103,65
1469748968,105,84
1469752568,98,85
1469756168,102,97
1469759768,119,97
1469763368,118,115
1469766968,104,147
1469770568,155,191
1469774168,55,182
1469777768,56,188
1469781368,48,53
1469784969,84,82
1469788569,279,167
1469792169,251,146
1469795768,77,204
1469799368,169,237
1469802969,192,200
1469806569,284,235
1469810169,232,228
1469813769,160,133
1469817369,158,108
1469820969,163,104
1469824569,132,86
1469828169,142,97
1469831770,94,107
1469835369,110,89
1469838969,98,117
1469842569,90,101
1469846170,99,108
1469849770,104,99
1469853370,133,113
1469856970,101,175
1469860570,68,81
1469864171,70,62
1469867771,72,57
1469871370,63,79
1469874971,49,220
1469878571,66,224
1469882171,55,163
1469885771,94,234
1469889371,84,263
1469892971,152,244
1469896571,109,132
1469900171,76,49
1469903772,67,111
1469907372,84,129
1469910972,81,99
1469914572,66,134
1469918172,58,115
1469921772,40,92
1469925372,72,111
1469928972,70,99
1469932572,56,116
1469936172,85,115
1469939772,64,112
1469943372,56,148
1469946972,55,63
1469950572,53,58
1469954172,57,47
1469957772,76,63
1469961373,70,281
1469964972,55,261
1469968573,85,87
1469972173,60,156
1469975772,75,193
1469979372,76,279
1469982972,83,230
1469986573,92,169
1469990173,126,152
1469993773,109,166
1469997373,85,137
1470000974,65,141
1470004574,61,94
1470008174,63,112
1470011774,66,98
1470015374,62,90
1470018974,66,98
1470022574,42,105
1470026174,55,131
1470029774,37,105
1470033374,56,74
1470036976,36,68
1470040575,60,63
1470044175,52,73
1470047775,66,52
1470051376,239,62
1470054976,298,57
1470058576,350,89
1470062177,235,82
1470065776,263,140
1470069376,205,127
1470072976,158,72
1470076577,133,65
1470080177,206,86
1470083777,199,82
1470087377,161,63
1470090977,87,63
1470094577,118,41
1470098177,113,64
1470101777,194,74
1470105377,132,56
1470108977,107,85
1470112578,195,68
1470116178,210,51
1470119779,49,58
1470123378,60,58
1470126979,124,51
1470130579,154,76
1470134179,120,71
1470137780,254,56
